City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ngama,11.7833,17.1667,26.38,77,70,4.08,TD,1724524109
1,praia da vitoria,38.7333,-27.0667,25.14,61,20,3.41,PT,1724523991
2,anadyr,64.75,177.4833,7.28,75,0,3.0,RU,1724524104
3,sur,22.5667,59.5289,31.89,56,88,4.61,OM,1724524112
4,redcliff,-19.0333,29.7833,18.48,34,0,2.17,ZW,1724524113
5,port elizabeth,-33.918,25.5701,17.16,83,75,7.2,ZA,1724523998
6,kodiak,57.79,-152.4072,10.73,76,100,5.14,US,1724524097
7,adamstown,-25.066,-130.1015,19.09,69,89,6.51,PN,1724523935
8,wailua homesteads,22.0669,-159.378,23.96,94,73,0.89,US,1724524118
9,kalulushi,-12.8378,28.0919,19.52,31,0,2.85,ZM,1724524119
10,chonchi,-42.6128,-73.8092,10.62,64,100,2.03,CL,1724523984
11,portland,45.5234,-122.6762,19.4,77,75,2.57,US,1724523435
12,prince rupert,54.3161,-130.3201,13.83,88,100,3.09,CA,1724524123
13,albany,42.6001,-73.9662,27.97,55,17,0.89,US,1724523838
14,phan rang-thap cham,11.5667,108.9833,24.93,86,100,1.08,VN,1724524125
15,dingcheng,32.1272,115.0394,27.93,81,2,1.06,CN,1724524126
16,longyearbyen,78.2186,15.6401,11.91,66,0,0.0,SJ,1724524013
17,cadale,2.7603,46.3222,25.39,84,48,8.0,SO,1724524129
18,waitangi,-43.9535,-176.5597,11.01,98,23,1.34,NZ,1724523976
19,megion,61.0296,76.1136,14.01,90,100,5.63,RU,1724524131
20,lihue,21.9789,-159.3672,24.3,94,69,6.68,US,1724524132
21,rio preto da eva,-2.6994,-59.6997,40.51,18,53,3.06,BR,1724524133
22,smithers,54.7804,-127.1743,17.18,59,20,0.0,CA,1724524135
23,enewetak,11.3474,162.3373,28.33,79,87,6.76,MH,1724524052
24,tshabong,-26.05,22.45,20.97,19,0,4.95,BW,1724524137
25,avarua,-21.2078,-159.775,21.03,83,100,4.12,CK,1724523959
26,afaahiti,-17.75,-149.2833,23.64,78,98,4.91,PF,1724524139
27,toliara,-23.35,43.6667,21.26,46,1,8.7,MG,1724524140
28,pundong,-7.9522,110.3486,22.31,94,60,1.25,ID,1724524141
29,atafu village,-8.5421,-172.5159,27.4,81,69,9.1,TK,1724523983
30,port macquarie,-31.4333,152.9167,13.93,99,43,1.34,AU,1724524144
31,pontianak,-0.0333,109.3333,24.13,94,100,0.94,ID,1724524145
32,tura,25.5198,90.2201,23.45,98,82,1.79,IN,1724524085
33,puerto natales,-51.7236,-72.4875,9.25,57,40,1.03,CL,1724523972
34,rexburg,43.826,-111.7897,21.67,48,0,1.54,US,1724523941
35,puerto ayora,-0.7393,-90.3518,21.42,86,34,3.13,EC,1724524055
36,santa cruz,-17.8,-63.1667,16.03,59,100,7.72,BO,1724524027
37,pisco,-13.7,-76.2167,18.9,77,0,4.12,PE,1724524134
38,ilulissat,69.2167,-51.1,7.01,93,75,0.0,GL,1724523947
39,xinyuan,37.3,99.0,11.63,85,90,1.7,CN,1724524154
40,port-aux-francais,-49.35,70.2167,1.75,69,86,14.18,TF,1724523937
41,iqaluit,63.7506,-68.5145,9.85,57,75,8.23,CA,1724523949
42,broken hill,-31.95,141.4333,20.1,49,90,2.78,AU,1724524158
43,ushuaia,-54.8,-68.3,8.81,57,0,6.69,AR,1724524029
44,waddan,29.1614,16.139,33.85,27,0,4.86,LY,1724524160
45,zyryanovsk,49.7386,84.2719,15.54,90,99,2.6,KZ,1724524161
46,kourou,5.1552,-52.6478,30.32,64,23,5.8,GF,1724524162
47,codrington,-38.2667,141.9667,12.72,69,5,5.54,AU,1724524165
48,hawaiian paradise park,19.5933,-154.9731,24.94,98,100,5.66,US,1724523953
49,broome,42.2506,-75.833,27.23,47,20,0.89,US,1724524167
50,waspan,14.7419,-83.9717,33.06,54,25,2.55,NI,1724524168
51,bethel,41.3712,-73.414,28.34,52,40,2.57,US,1724523898
52,aykhal,66.0,111.5,10.43,90,100,7.09,RU,1724524171
53,new norfolk,-42.7826,147.0587,9.84,98,93,0.41,AU,1724524172
54,ha'il,27.5219,41.6907,38.01,15,0,3.09,SA,1724524173
55,margaret river,-33.95,115.0667,13.89,64,94,6.78,AU,1724523942
56,pallisa,1.145,33.7094,21.2,81,85,0.94,UG,1724524176
